Strike ID,Country,Date (MM-DD-YYYY),President,Village/local area,District,Province,"Village/Local Area, District, Province, Country",Lat/Long of Location ,"Modified Location 
when Applicable","Lat/Long of Modified Location 
when Applicable ",Most Specific Location,Most Specific Lat/Long,,,Type of attack,Reportedly drone?,US confirmed?,US only source?,"Counter-
terrorism, force protection or strategic effects?",Reported target group?,Time,Reported target type,Minimum strikes,Maximum strikes,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Strike link,Timeline URL,Index
AFG001,Afghanistan ,01-01-2015,Obama,Unknown,Spera,Khost,"Unknown, Spera, Khost, Afghanistan","32.8078448,68.6456967",,,"Spera, Khost, Afghanistan","33.19392, 69.515022",33.19392,69.515022,US strike,0,1,1,FP,-,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#77,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#,77
AFG002,Afghanistan ,01-03-2015,Obama,Unknown,Gayan,Paktika,"Unknown, Gayan, Paktika, Afghanistan","32.984041,69.430782",,,"Gayan, Paktika, Afghanistan","32.984041,69.430782",32.984041,69.430782,US strike,0,0,0,-,-,Early morning/late evening,Convoy,1,1,18,18,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#3,,3
AFG003,Afghanistan ,01-03-2015,Obama,Unknown,Spera,Khost,"Unknown, Spera, Khost, Afghanistan","32.8078448,68.6456967",,,"Spera, Khost, Afghanistan","32.8078448,68.6456967",32.8078448,68.6456967,US strike,0,1,0,FP,Haqqani,Early morning,Convoy,1,1,7,7,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#4,,4
AFG004,Afghanistan ,01-06-2015,Obama,Unknown,Dara I Pech,Kunar,"Unknown, Dara I Pech, Kunar, Afghanistan","34.872898,71.155620",,,"Dara I Pech, Kunar, Afghanistan","34.872898,71.155620",34.872898,71.155620,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#120,,120
AFG005,Afghanistan ,01-07-2015,Obama,Unknown,Unknown,Logar,"Unknown, Unknown, Logar, Afghanistan","34.014551,69.192391",,,"Logar, Afghanistan","34.014551,69.192391",34.014551,69.192391,US strike,1,0,0,-,-,-,-,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#5,,5
AFG006,Afghanistan ,01-08-2015,Obama,Chikanawr,Lal Pura,Nangarhar,"Chikanawr, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",,,"Chikanawr, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.954680,US strike,1,0,0,-,Insurgents,Late at night,Compound,1,1,6,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#6,,6
AFG007,Afghanistan ,01-11-2015,Obama,Chikanawr,Lal Pura,Nangarhar,"Chikanawr, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",,,"Chikanawr, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.954680,US strike,1,0,0,-,Taliban,Morning,-,1,1,8,8,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#78,,78
AFG008,Afghanistan ,01-16-2015,Obama,Unknown,Nazyan,Nangarhar,"Unknown, Nazyan, Nangarhar, Afghanistan","34.118171,70.752529",,,"Nazyan, Nangarhar, Afghanistan","34.118171,70.752529",34.118171,70.752529,US strike,1,0,1,-,-,-,-,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#7,,7
AFG009,Afghanistan ,01-17-2015,Obama,Unknown,Lal Pura,Nangarhar,"Unknown, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",,,"Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.954680,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#121,,121
AFG010,Afghanistan ,01-19-2015,Obama,Unknown,Khugyani,Nangarhar,"Unknown, Khugyani, Nangarhar, Afghanistan","34.229212,70.193208",,,"Khugyani, Nangarhar, Afghanistan","34.229212,70.193208",34.229212,70.193208,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#122,,122
AFG011,Afghanistan ,02-08-2015,Obama,Azankarez,Kajak,Helmand,"Azankarez, Kajak, Helmand, Afghanistan","32.339473,65.143251",,,"Azankarez, Kajak, Helmand, Afghanistan","32.339473,65.143251",32.339473,65.143251,US strike,1,1,0,FP,ISIS,-,-,1,1,6,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#1,,1
AFG012,Afghanistan ,02-10-2015,Obama,Unknown,Khas Kunar,Kunar,"Unknown, Khas Kunar, Kunar, Afghanistan","34.643368,71.026004",,,"Khas Kunar, Kunar, Afghanistan","34.643368,71.026004",34.643368,71.026004,US strike,1,1,0,FP,Taliban - Khorasan Group / ISIS,-,-,1,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#8,,8
AFG013,Afghanistan ,02-11-2015,Obama,Unknown,Nazyan,Nangarhar,"Unknown, Nazyan, Nangarhar, Afghanistan","34.118171,70.752529",,,"Nazyan, Nangarhar, Afghanistan","34.118171,70.752529",34.118171,70.752529,US strike,0,1,0,FP,TTP,-,Compound,1,1,2,9,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#9,,9
AFG014,Afghanistan ,02-18-2015,Obama,Fathi Khani,Khogyani,Nangarhar,"Fathi Khani, Khogyani, Nangarhar, Afghanistan","34.229212,70.193208",,,"Fathi Khani, Khogyani, Nangarhar, Afghanistan","34.229212,70.193208",34.229212,70.193208,US strike,1,0,0,-,Taliban,Afternoon,-,1,1,8,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#79,,79
AFG015,Afghanistan ,02-03-2015,Obama,Unknown,Alishir,Khost,"Unknown, Alishir, Khost, Afghanistan","33.394839,70.044359",,,"Alishir, Khost, Afghanistan","33.394839,70.044359",33.394839,70.044359,US strike,1,0,0,-,-,-,-,1,1,1,1,0,1,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#80,,80
AFG016,Afghanistan ,03-10-2015,Obama,Mamond,Achin,Nangarhar,"Mamond, Achin, Nangarhar, Afghanistan","34.215777,71.026004",,,"Mamond, Achin, Nangarhar, Afghanistan","34.215777,71.026004",34.215777,71.026004,US strike,0,1,0,FP,Taliban,-,Corolla vehicle,1,1,6,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#81,,81
AFG017,Afghanistan ,03-11-2015,Obama,Unknown,Sarakani,Kunar,"Unknown, Sarakani, Kunar, Afghanistan","34.801712,71.216142",,,"Sarakani, Kunar, Afghanistan","34.801712,71.216142",34.801712,71.216142,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#124,,124
