Strike ID,Country,Date (MM-DD-YYYY),President,Most Specific Location,Most Specific Lat/Long,Latitude,Longitude,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Ratio of Civilians to Total Killed,Other (Non-civilian/children Killed),,,,,,,,,,,,,,,,,,,
B50,Pakistan,01-01-2009,Bush,"Kari Kot, South Waziristan, Pakistan","32.270651,69.554179",32.270651,69.554179,3,5,0,0,0,0,1,0,5,,,,,,,,,,,,,,,,,,,
Ob53,Pakistan,01-01-2010,Obama,"Ghundikala, North Waziristan, Pakistan","32.959854,70.156371",32.959854,70.156371,2,3,0,0,0,0,3,0,3,,,,,,,,,,,,,,,,,,,
Ob181,Pakistan,01-01-2011,Obama,"Mandi Khel, North Waziristan, Pakistan","33.001031,70.364339",33.001031,70.364339,8,10,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,
Ob182,Pakistan,01-01-2011,Obama,"Mandi Khel, North Waziristan, Pakistan","33.001031,70.364339",33.001031,70.364339,4,6,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,
Ob183,Pakistan,01-01-2011,Obama,"Datta Khel, North Waziristan, Pakistan","33.150049,70.433361",33.150049,70.433361,4,5,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,
Ob184,Pakistan,01-01-2011,Obama,"Boya, North Waziristan, Pakistan","32.943336,69.899944",32.943336,69.899944,4,4,0,0,0,0,4,0,4,,,,,,,,,,,,,,,,,,,
YEM115,Yemen,01-01-2013,Obama,"Shabwa, Yemen","14.754630,46.516261",14.754630,46.516261,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
AFG001,Afghanistan ,01-01-2015,Obama,"Spera, Khost, Afghanistan","33.19392, 69.515022",33.19392,69.515022,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
B51,Pakistan,01-02-2009,Bush,"Madin Village, South Waziristan, Pakistan","32.320237,69.859740",32.320237,69.859740,3,4,0,0,0,0,3,0,4,,,,,,,,,,,,,,,,,,,
Ob306,Pakistan,01-02-2013,Obama,"Lajhmarai area, Tehsil Birmal, South Waziristan, Pakistan","32.378567,69.430782",32.378567,69.430782,6,11,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,
AFG136,Afghanistan ,01-02-2016,Obama,"Shaltan Darra, Shegal, Kunar, Afghanistan","34.846589,71.097316",34.846589,71.097316,5,5,0,0,0,0,2,0,5,,,,,,,,,,,,,,,,,,,
